Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,OJ W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
MFIPA: Mosaic Brut ,Paradox Beer Co.,IPA,Brut IPA,Colorado,6/21/2019,June,2019,Ben W.,74,Charlie D.,3.03,,,,,,,,,,,,,,,,3.50,,,,,,,3.75,,,,,,,,,,,2.00,,,,,,3.25,,,4.00,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy Train Copper Ale,Fretboard Brewing Co.,Pale Ale,Belgian Pale Ale,Ohio,1/30/2023,January,2023,Scott T.,115,Joe J.,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3.00,,,,,,,,,2.75,,,,,,,,,,2.00,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,3.00,,,,,,,,,,,,,,,
El Camino Misfire Berliner Weisse Style Sour Ale,Other Half Brewing Co.,Sour,Berliner Weisse,New York,5/16/2025,May,2025,Jake W.,143,David A.,3.03,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,2.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,2.25,,,,,,,,,,,,,2.50,,,3.75,,,,,,,,,,,,,,,
Mirror Pond Pale Ale,Deschutes Brewery,Pale Ale,American Pale Ale,Oregon,7/30/2014,July,2014,Dave E. and Jake W.,15,Eric H.,3.03,,,,,3.00,,,,,,,,,,,,,,,,,,,3.00,,,,,,2.50,,3.00,,3.00,,,,,,,,,,,2.00,,4.00,,,,,,3.50,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,2.00,,4.50,,,,,,,,,,,,3.50,,,,,,,,,,,4.00,,,,,2.00,,,,,,,,,,4.00,,2.50,3.00,,
Roundhouse India Red Ale,Bell's Brewery,IPA,Red IPA,Michigan,1/19/2017,January,2017,Jake W.,45,Paul W.,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,2.50,,3.75,,,,,,3.25,,,,,,,,,2.75,,,,,,,,3.00,,,,,3.00,,,,3.00,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltic Porter,Founders Brewing Co.,Porter,Baltic Porter,Michigan,12/8/2017,December,2018,Paul W.,56,Steve S.,3.03,,,,,,,,,,,,,,,,2.50,,2.50,,,,,,,,,,,,,,,,3.25,,,,3.50,,,,,,,3.50,,3.25,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,2.50,,4.25,,,,,,,,,3.00,,,,,,,,3.00,3.75,1.50,,,,3.00,,,,,,,,,,,3.00,,,,,1.00,3.50,,,,4.00,,,,,
Ruby Irish Red Ale,Wooden Cask Brewing Co.,Red,Irish Red,Kentucky,9/25/2020,September,2020,Paul K. and Chalie D.,88,Jason M.,3.03,,,,,,,,,,,,,,,3.00,3.00,,,,,,,2.75,,,,,,,,,,,3.25,,,,,,,,,,,,,2.25,,,,,,,,,3.50,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hop Head NE IPA,Listermann Brewing Co.,IPA,New England/Hazy IPA,Ohio,7/21/2023,July,2023,Dave E.,121,Steve B.,3.03,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,2.75,,,,,,,2.50,,,,,,,,,,,,3.50,,,3.00,,,,,,,,2.50,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,3.25
The Road to Arcadia DH Pilsner with Phantasm,Listermann Brewing Co.,Pilsner,,Ohio,9/30/2022,September,2022,Charlie D.,111,Charlie D.,3.03,,,,,,,,,,,,,,,3.25,,,3.50,,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,3.25,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,3.00,,,,,,,,,2.50,,,,,,
Mystic Mama India Pale Ale,Jackie O's Brewery,IPA,American IPA,Ohio,12/20/2024,December,2025,Paul W.,138,Matthew S.,3.03,,,,,,,,,,,,,,,,,3.00,3.00,,,,,3.75,,,,,,,,,,,3.00,,3.00,,,,,,,,,2.00,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,2.50,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,
Far Star Cold Weather Lager,Half Acre Beer Co.,Lager,American Lager,Illinois,10/30/2025,October,2025,Ben S.,148,David A.,3.03,,,,,,,3.25,,,,,,,,3.25,,3.50,,,,,,,,,,,2.75,,,,,,2.50,,3.00,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,3.25
Finn Berliner Style Pale Ale,Urban Artifact,Sour,Berliner Weisse,Ohio,5/24/2018,May,2018,Jason F.,61,Lee M./Brant C.,3.02,3.00,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,2.25,,,,,,2.50,,3.25,3.00,,,3.00,,,,,,,,,,,,,,,,4.00,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,
"Suh, Brah? New England Style IPA",Streetside Brewery,IPA,New England/Hazy IPA,Ohio,6/27/2018,June,2018,Scott T.,62,Jeremy S.,3.02,4.00,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,2.00,,3.25,,,,,,3.00,,,3.00,,,3.25,,,,,2.00,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,
DankeChain Oktoberfest,West Sixth Brewing Co.,Oktoberfest,Marzen,Kentucky,9/28/2018,September,2018,Aaron T. and Jeremy S.,65,Jake W.,3.02,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,2.50,,,,,,,,3.00,,2.50,2.50,,,3.50,,,,,,,,,,,,3.50,,,,3.00,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,
Oktoberfest,Coop Ale Works,Oktoberfest,Marzen,Oklahoma,9/28/2018,September,2018,Aaron T. and Jeremy S.,65,Jason M.,3.02,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,2.50,,,,,,,,3.25,,3.00,3.00,,,3.25,,,,,,,,,,,,4.00,,,,3.00,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,
Brew Force New England IPA,Listermann Brewing Co.,IPA,New England/Hazy IPA,Ohio,3/22/2019,March,2019,Jason M.,71,Paul K.,3.02,3.50,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,3.75,,,3.00,,,2.25,,,,,,,,,,,,2.50,,,,3.00,,2.50,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50
Striga East India Porter,Seventh Son Brewing Co.,IPA,Black IPA,Ohio,9/24/2021,September,2021,Charlie D.,99,Tim H.,3.02,,,,,,,,,,,,,,,2.75,,,,,,,,3.00,,,,,,,,,,,2.50,,,,,,,,,,2.75,3.50,,3.00,,,,3.50,,3.25,,,3.00,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,
Peak Conditions Hazy Double IPA,Stone Brewing Co.,IPA,New England/Hazy IPA,California,7/28/2022,July,2022,Dave E.,109,Scott T.,3.02,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,3.00,,2.50,,3.50,,,,,,3.50,,,,,,,,,,,1.75,,,,,,,,3.00,,,,,,,,,,,,3.50,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,3.25
Social Hour Social Experiment,Santa Fe Brewing Co.,Wheat,American Pale Wheat,New Mexico,2/28/2026,February,2026,Ryan F.,152,Maridee R.,3.02,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.00,,,,,2.75,,2.75,,,,,,,,,,,2.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,4.00,,,,,,,,,,,,,,,,,,,,2.25,,,,3.00,4.00,,2.25,,,,,,,,,,,,,,,
Thunder Oat IPA,North Peak Brewing Co.,IPA,New England/Hazy IPA,Michigan,7/3/2017,July,2017,Dave E.,51,Jeremy S.,3.02,3.00,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,2.25,,,,,,3.50,,,,,,3.25,,,,,,,,,,,,,,,,3.50,,,,,,,,2.00,,,2.50,,,,,,,,3.00,,3.75,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,3.75,,,
Vanilla Oak Aged Yeti Imperial Stout,Great Divide Brewing Co.,Stout,Russian Imperial Stout,Colorado,7/6/2018,July,2018,Dave E.,63,Jason F.,3.02,3.50,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,4.00,,,,,,,,,,,4.00,,2.00,,,,,,3.00,,4.00,2.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,2.00,,,,,,,,,,,3.00,,,,,,,,,,,,2.25,,,,,3.50,,2.75,,,,,,,,,,,,,
Ayinger Altbairisch Dunkel,Brauerei Aying,Dunkel,,Germany,1/17/2019,January,2019,Paul K.,69,Paul W.,3.02,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,0.00,,,,,4.00,3.75,,,,,2.50,,2.25,,,,3.00,,3.00,,,3.50,,,,,,,,,,,,,,,4.00,,,,,,2.75,,,,,,,,,,,,,,,,,3.50,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00
Oak-Aged Siracusa Nera,Dogfish Head Craft Brewery,Stout,Russian Imperial Stout,Delaware,5/17/2019,May,2019,Jake W.,73,Lee M.,3.02,3.75,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,3.25,,3.00,,,,,,2.75,,,,,,,,,,,,,,,,2.50,,4.00,,,,,,,,,,,,,,,,,3.00,3.00,1.00,,,,,,,,,,,,,,,3.50,,,,,,3.50,,,,,,,,2.50,
Extra Dry Sake Style Saison Ale,Stillwater Artisanal Ales,Saison,,Maryland,8/22/2025,August,2025,Jeremy S.,146,Rick S.,3.02,,,,,,,,,,,,,,,2.75,,2.75,,,,,,2.00,,,,,3.50,,,,,,2.75,,2.50,,,,,,,,,,,,,,,,,2.75,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,4.00,,,,,,,4.00,,,4.00,,,,2.25,,,,,,,,,,,,,,,,,,3.75
Lagerstadt Oktoberfest Lager,Warped Wing Brewing Co.,Oktoberfest,Festbier,Ohio,9/26/2025,September,2025,Charlie D.,147,Joe J.,3.02,,,,,,,,,,,,,,,,,,3.00,,,,,3.00,,,,,,,,,,,2.75,,2.00,,,,,,,,,,,2.00,,,,,,2.75,,,,,,3.25,,,,,3.50,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,3.50,,,,,3.75,,3.25,,,,,,,2.75,,,3.00,,,,,,,,,,,,,,,
Holster Hazelnut Cream Stout,Cartridge Brewing,Stout,American Stout,Ohio,12/9/2022,December,2023,Paul W.,114,Paul K.,3.02,,,,,,,,,,,,,,,,,,3.25,,,,,3.00,,,,,,,,,,,3.50,,,,,,,,,3.00,,,,,,,,,,3.75,,,3.00,,,2.75,,,,,3.00,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,2.50,2.50,,,,,,,,,,,,,3.25,,,2.00,,,,3.25,,,,,,,,,,,2.75
The Famous Taddy Porter,Samuel Smith Old Brewery,Porter,English Porter,UK,12/2/2016,December,2017,Paul W.,44,Trent D.,3.02,,,,,,,,,,,,,,,,3.50,,3.00,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,3.25,,2.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,3.00,,2.75,,,,,,2.25,3.00,,,,,,,,,,,3.00,2.50,,,,,,,,,,3.50,,,,,3.50,,,,,,3.25,,,,,,4.50,,,
Off Black Black Pilsner,Hopewell Brewing Co.,Pilsner,,Illinois,1/9/2026,January,2026,Paul W.,151,Lee M.,3.02,,,,,,,,,,,,,,,4.00,,,3.75,,,,,3.25,,,,,,,,,,,3.00,,2.75,,,,,,,,,,,2.50,2.50,,,,,3.25,,,,,2.75,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,2.00,3.25,,,,,,2.50,,,2.50,,,,,,,3.00,,,,,,,,,,,,,,,4.50
Dubhe Imperial Black IPA,Uinta Brewing Co.,IPA,Black IPA,Utah,6/4/2013,June,2013,Jake W.,1,Dave E.,3.00,,,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,4.00,,,,3.00,,,,,3.50,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,4.00,,,,,,,1.50,,,,,,,,4.00,,,,,,,,,,1.00,,,,,
Banana Bread Beer,Wells & Young's Brewing Co.,Fruit and Field,,UK,7/23/2013,July,2013,Bobby T.,3,Colin J.,3.00,,3.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,4.50,,,,,,,,,3.00,,,,,,,,2.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,3.00,,,1.50,,,,,,,2.00,,,,,
Archangel Summer Wheat,North Peak Brewing Co.,Wheat,American Pale Wheat,Michigan,8/12/2013,August,2013,Scott T.,4,Adam H.,3.00,,4.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,2.00,,,,,4.50,,,,,,,,,,,,,,2.00,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,3.00,4.50,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,
Hard Cider Crisp Apple,Angry Orchard,Cider,Sweet,New York,10/10/2013,October,2013,Matt S.,6,Bobby T.,3.00,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,3.00,,,,3.00,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,2.50,,,
Krampus Imperial Helles Lager,Southern Tier Brewing Co.,Lager,Helles Lager,New York,11/14/2013,November,2013,Trent D.,7,Trent D.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,2.50,,,,,,,,4.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,3.00,,,,,,,,,,,,,,,,,,3.00,,,,,2.50,,,,,,,,,,,,4.00,,,
Imperial Stout,Samuel Smith Old Brewery,Stout,Russian Imperial Stout,UK,3/14/2014,March,2014,Denis M.,11,Donny H.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,3.00,,2.00,,,3.50,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,
Hop Notch IPA,Uinta Brewing Co.,IPA,American IPA,Utah,4/17/2014,April,2014,Tony H.,12,Matt S.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,2.50,,,,,,,,,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,2.50,,,,,,,,,,,3.00,,,,,3.00,,,,,,,,,,2.50,,,,,
Humboldt Brown,Nectar Ales,Brown,,California,4/17/2014,April,2014,Tony H.,12,Paul W.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,3.00,,,,,,,,,,,,,3.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,2.50,,,,,,,,,,,3.00,,,,,2.00,,,,,,,,,,3.50,,,,,
UFO White,Harpoon Brewery,Wheat,Witbier,Massachusetts,4/17/2014,April,2014,Tony H.,12,Colin J.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,2.50,,,,,,,,,,,,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,2.00,,,,,,,,,,,2.50,,,,,3.50,,,,,,,,,,3.00,,,,,
PumCan,MadTree Brewing Co.,Pumpkin,,Ohio,10/11/2014,October,2014,Phil H.,18,Nate M.,3.00,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,3.50,,,,,,3.50,,,,,,,,,,,,,,,4.00,,,,,2.00,,,,,,,3.00,,,
Pearl Necklace Oyster Stout,Flying Dog Brewery,Stout,English Stout,Maryland,12/12/2014,December,2015,Paul W.,20,Bobby T.,3.00,,,,,,,,,,,,,,,,,,2.50,,,,,,2.50,,,,,,,,2.50,,3.50,,,,,,,,,,,,3.50,2.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,4.50,,,,,,,,,,,,,,,3.50,,,,,1.50,3.50,,,,3.00,,,,,
Half and Half (Guinness and Smithwick's),Guinness Ltd.,Half and Half,,Ireland,4/17/2015,April,2015,Phil H.,24,Paul W.,3.00,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,2.50,,,,,1.50,,,,,,,,2.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,3.50,4.50,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,
Jurata Baltic Porter,Coronado Brewing Co.,Porter,Baltic Porter,California,4/17/2015,April,2015,Phil H.,24,Dave E.,3.00,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,3.00,,,,,1.50,,,,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,1.50,4.50,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,
Unfiltered Wheat,Boulevard Brewing Co.,Wheat,American Pale Wheat,Missouri,5/13/2015,May,2015,Scott T.,25,Bobby T.,3.00,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,3.00,,2.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,3.00,,,,,,,,,,,,,,,2.50,,,,,,,,,,3.50,,,,,
West Coast IPA,Green Flash Brewing Co.,IPA,American IPA,Virginia,7/1/2015,June,2015,Sam E.,26,Jake W. / Kevin W.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,2.00,,3.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,3.00,3.00,,,,,,,,,,,,4.50,,,,,,,,,,2.50,,,,,3.00,,,,,,,,,,,,2.00,,,
90 Minute IPA,Dogfish Head Craft Brewery,IPA,Imperial IPA,Delaware,8/10/2015,August,2015,Phil H.,28,Scott T.,3.00,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,2.00,,3.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,3.00,,,
Steve,Rhinegeist Brewiing Co.,Lager,Dark Lager,Ohio,8/10/2015,August,2015,Phil H.,28,Eric A.,3.00,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,3.50,,2.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,3.50,,,
The Calling IPA,Boulevard Brewing Co.,IPA,Imperial IPA,Missouri,1/14/2016,January,2016,Trent D.,33,Jake W.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,3.00,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,3.00,,,
Hot Box Brown Ale,Perrin Brewing Co.,Brown,,Michigan,2/25/2016,February,2016,Dave E.,34,Jake W.,3.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,3.00,,2.50,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,4.00,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,,,
Smitten Golden Rye Ale,Bell's Brewery,Rye,,Michigan,3/30/2016,March,2016,Jake W.,35,Steve S.,3.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,4.00,2.50,,,,,,,,,,,2.50,,3.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,3.00,,,,2.50,,,,,
Three Philosophers,Brewery Ommegang,Quad,Belgian Quad,New York,3/30/2016,March,2016,Jake W.,35,Paul W.,3.00,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,,2.50,2.00,,,,,,,,,,,3.00,,2.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,3.00,,,,3.50,,,,,
Insulated Dark Lager,Brooklyn Brewery,Lager,Dark Lager,New York,1/19/2017,January,2017,Jake W.,45,Josh J.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,3.00,,2.75,,,,,,3.00,,,,,,,,,3.25,,,,,,,,3.00,,,,,3.00,,,,2.50,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mega Mix Pale Ale,MIA Beer Co.,Pale Ale,American Pale Ale,Florida,2/24/2017,February,2017,Ben W.,46,Richard A.,3.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,2.75,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,,,,,,,,1.50,,,,,
Double Citra IPA,Moeller Brew Barn,IPA,Double IPA,Ohio,12/8/2017,December,2018,Paul W.,56,Eric H.,3.00,,,,,,,,,,,,,,,,4.50,,2.75,,,,,,,,,,,,,,,,2.75,,,,3.75,,,,,,,1.50,,4.00,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,2.00,,2.00,,,,,,,,,3.50,,,,,,,,2.75,2.50,3.50,,,,3.75,,,,,,,,,,,3.25,,,,,2.75,2.50,,,,2.75,,,,,
Chocolate Sombrero Mexican-Style Chocolate Stout,Clown Shoes,Stout,American Imperial Stout,Massachusetts,3/2/2018,February,2018,Colin J.,58,Dave E.,3.00,,,,,,,,,,,,,,,,,,2.50,,,,,2.75,,,,3.50,,,2.25,,,,2.75,,,,,,,,,,,,,2.75,,,,,,3.25,,,2.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,
Prince & Pauper,Omnipollo,Farmhouse,,Sweden,3/23/2018,March,2018,Kevin W. and Dave E.,59,Jason M.,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,1.75,,,,,,,,3.00,3.50,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,3.00,,,,,,,,,,,2.25,,4.50,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,
Torpedo Extra IPA,Sierra Nevada Brewing Co.,IPA,American IPA,California,6/27/2018,June,2018,Scott T.,62,Jake W.,3.00,5.00,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,,,2.00,,3.50,,,,,,2.75,,,3.50,,,3.00,,,,,1.50,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,
Reformation Scottish Stout,Wooden Cask Brewing Co.,Stout,Export Stout,Kentucky,8/31/2020,August,2020,Jeremy S.,86,Eric A.,3.00,2.00,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,3.00,,,,,,,,,,,4.00,,,,,,3.25,,3.00,,,2.75,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silly Wabbit,Oozlefinch Beers & Blending + WeldWerks Brewing Co.,Sour,Fruited Sour,Virginia,5/31/2021,May,2021,Scott T.,95,Dave E.,3.00,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,2.25,,,,3.50,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
